   Код Геозоны отправления;   Наименование зоны;   Код Геозоны прибытия;   Наименование зоны;1,5тн 4м СПК-Самара   [Z-PO1033-GT-1.5T-4M];1,5тн 6м СПК-Самара   [Z-PO1033-GT-1.5T-6M];10т 6м СПК-Самара   [Z-PO1033-GT-10T-6M];Манипулятор 10тн 6м СПК-Самара   [Z-PO1033-ST-10T-6M];манипулятор 20тн 12м СПК-Самара   [Z-PO1033-ST-20T-12M];20тн 13.5м СПК-Самара   [Z-1033-GT-20T-13.5M];ПЦС 20тн 13,5м СПК-Самара   [Z-1033-PS-20T-13.5M];ВРФ 20тн 13,5м СПК-Самара   [Z-1033-SM-20T-13.5M];Логистика 20тн 13,5м СПК-Самара   [Z-1033-LG-20T-13.5M]
TZRU63-0001;0Самарская область, г. Самара МБ;TZRU63-0002;0Самарская область г. Самара Зона 1;3500;6000;6500;14000;16000;8600;;;7500
TZRU63-0001;0Самарская область, г. Самара МБ;TZRU63-0003;0Самарская область г. Самара Зона 2;4000;7000;7500;14000;16000;9200;;;8000
TZRU63-0001;0Самарская область, г. Самара МБ;TZRU63-0004;0Самарская область г. Самара Зона 3;4500;8000;8500;14000;16000;9700;;;8500
TZRU63-0001;0Самарская область, г. Самара МБ;TZRU63-0020;1Самарская область Кинель Город;5000;9500;10000;;;11000;;;
TZRU63-0001;0Самарская область, г. Самара МБ;TZRU63-0030;1Самарская область Черноречье Село;3500;;;;;;;;
TZRU63-0001;0Самарская область, г. Самара МБ;TZRU63-0040;1Самарская область Николаевка Село;3500;;;;;;;;
TZRU63-0001;0Самарская область, г. Самара МБ;TZRU63-0050;1Самарская область Черновский Поселок;3500;;;;;;;;
TZRU63-0001;0Самарская область, г. Самара МБ;TZRU63-0060;1Самарская область Новосемейкино Поселок;5500;8100;9000;;;10000;;;
TZRU63-0001;0Самарская область, г. Самара МБ;TZRU63-0070;1Самарская область Новокуйбышевск Город;5700;9500;10000;;;11000;;;
TZRU63-0001;0Самарская область, г. Самара МБ;TZRU63-0080;1Самарская область Курумоч Поселок;6000;9500;10000;;;11500;;;
TZRU63-0001;0Самарская область, г. Самара МБ;TZRU63-0090;1Самарская область Царевщина Поселок;5500;8100;9000;;;10000;;;
TZRU63-0001;0Самарская область, г. Самара МБ;TZRU63-0100;1Самарская область Сызрань Город;15600;22800;23500;;;25000;;;
TZRU63-0001;0Самарская область, г. Самара МБ;TZRU63-0110;1Самарская область Отрадный поселок;8100;13300;13800;;;16000;;;
TZRU63-0001;0Самарская область, г. Самара МБ;TZRU63-0120;1Самарская область Чапаевск Город;8500;12200;12700;;;15000;;;
TZRU63-0001;0Самарская область, г. Самара МБ;TZRU63-0130;1Самарская область Тольятти Г;11600;18500;19500;;;21000;;;
TZRU63-0001;0Самарская область, г. Самара МБ;TZRU63-0140;1Самарская область Ульяновск Город;14000;23500;24000;;;26500;;;
TZRU63-0001;0Самарская область, г. Самара МБ;TZRU63-0150;1Самарская область Димитровград Город;15000;22500;23200;;;25000;;;
TZRU63-0001;0Самарская область, г. Самара МБ;TZRU63-0160;1Самарская область Бузулук Город;14000;22500;23000;;;26500;;;
TZRU63-0001;0Самарская область, г. Самара МБ;TZRU63-0170;1Самарская область Бугуруслан Город;14000;22500;23000;;;26500;;;
TZRU63-0001;0Самарская область, г. Самара МБ;TZRU63-0180;1Самарская область Уфа Город;35000;33000;40000;;;45000;;;
TZRU63-0001;0Самарская область, г. Самара МБ;TZRU63-0190;1Самарская область Оренбург Город;28000;39500;45000;;;50000;;;
TZRU63-0001;0Самарская область, г. Самара МБ;TZRU63-0200;1Самарская область Саратов Город;35000;39500;40000;;;45000;;;
TZRU63-0001;0Самарская область, г. Самара МБ;TZRU63-0210;1Самарская область Казань Город;27000;34500;35000;;;40000;;;
TZRU63-0001;0Самарская область, г. Самара МБ;TZRU63-0220;1Самарская область Москва Город;35000;33000;40000;;;45000;;;
TZRU63-0001;0Самарская область, г. Самара МБ;TZRU63-0250;1Самарская область Красный яр Поселок;6000;11000;12000;;;13000;;;
TZRU63-0001;0Самарская область, г. Самара МБ;TZRU63-0260;1Самарская область Пенза Город;35000;39500;40000;;;45000;;;
TZRU63-0001;0Самарская область, г. Самара МБ;TZRU63-0270;1Самарская область Жигулевск Город;13600;21000;21500;;;23000;;;
TZRU63-0002;0Самарская область г. Самара Зона 1;TZRU63-0001;0Самарская область, г. Самара МБ;3000;;5500;;;;7500;7500;6500
TZRU63-0003;0Самарская область г. Самара Зона 2;TZRU63-0001;0Самарская область, г. Самара МБ;3500;;6000;;;;8000;8000;6500
TZRU63-0004;0Самарская область г. Самара Зона 3;TZRU63-0001;0Самарская область, г. Самара МБ;4000;;6500;;;;8500;8500;7000
TZRU63-0020;1Самарская область Кинель Город;TZRU63-0001;0Самарская область, г. Самара МБ;4500;;8500;;;;9500;9500;9500
TZRU63-0070;1Самарская область Новокуйбышевск Город;TZRU63-0001;0Самарская область, г. Самара МБ;4500;;9500;;;;10000;10000;10000
TZRU63-0130;1Самарская область Тольятти Г;TZRU63-0001;0Самарская область, г. Самара МБ;7500;;12000;;;;13000;13000;13000
TZRU63-0180;1Самарская область Уфа Город;TZRU63-0001;0Самарская область, г. Самара МБ;;;;;;;35000;35000;35000
TZRU63-0190;1Самарская область Оренбург Город;TZRU63-0001;0Самарская область, г. Самара МБ;;;;;;;35000;35000;35000
TZRU63-0200;1Самарская область Саратов Город;TZRU63-0001;0Самарская область, г. Самара МБ;;;;;;;25000;25000;25000
TZRU63-0210;1Самарская область Казань Город;TZRU63-0001;0Самарская область, г. Самара МБ;;;;;;;35000;35000;30000
TZRU63-0240;1Самарская область Екатеринбург Город;TZRU63-0001;0Самарская область, г. Самара МБ;;;;;;;55000;55000;50000
TZRU00-0020;1Тюмень;TZRU63-0001;0Самарская область, г. Самара МБ;;;;;;;50000;;
TZRU00-0050;1Альметьевск;TZRU63-0001;0Самарская область, г. Самара МБ;;;;;;;30000;;
TZRU00-0070;1Тольятти;TZRU63-0001;0Самарская область, г. Самара МБ;;;;;;;13000;;
