   Код Геозоны отправления;   Наименование зоны;   Код Геозоны прибытия;   Наименование зоны;Манипулятор 5тн 6м СПК-Краснодар   [Z-PO1016-ST-5T-6M];20тн 13.5м СПК-Краснодар   [Z-1016-GT-20T-13.5M];ПЦС 20тн 13.5м СПК-Краснодар   [Z-1016-PS-20T-13.5M];Логистика 20тн 13.5м СПК-Краснодар   [Z-1016-LG-20T-13.5M];ВРФ 20тн 13.5м СПК-Краснодар   [Z-1016-SM-20T-13.5M];Логистика 5тн 6м СПК-Краснодар   [Z-PO1016-LG-5T-6M];ВРФ 5тн 6м СПК-Краснодар   [Z-PO1016-SM-5T-6M];ПЦС 5тн 6м СПК-Краснодар   [Z-PO1016-PS-5T-6M]
TZRU00-0030;00 Абинский ЭМЗ;TZRU23-0001;23 Краснодар;;;1000;;;;;650
TZRU23-0001;23 Краснодар;TZRU23-0001;23 Краснодар;;;;2000;;1000;;
TZRU23-0001;23 Краснодар;TZRU23-0002;23 Краснодар Геозона 1;6000;9000;;;;;;
TZRU23-0001;23 Краснодар;TZRU23-0003;23 Краснодар Геозона 2;6500;10000;;;;;;
TZRU23-0001;23 Краснодар;TZRU23-0004;23 Краснодар Геозона 3;7000;10500;;;;;;
TZRU23-0001;23 Краснодар;TZRU23-0020;23 Абинск;13000;19000;;;;;;
TZRU23-0001;23 Краснодар;TZRU23-0021;23 Адыгейск;8300;12500;;;;;;
TZRU23-0001;23 Краснодар;TZRU23-0030;23 Анастасиевская ст.;14500;22000;;;;;;
TZRU23-0001;23 Краснодар;TZRU23-0040;23 Анапа;19000;29000;;;;;;
TZRU23-0001;23 Краснодар;TZRU23-0041;23 Витязево (Анапа);19500;30000;;;;;;
TZRU23-0001;23 Краснодар;TZRU23-0042;23 Виноградный (Анапа);19500;30000;;;;;;
TZRU23-0001;23 Краснодар;TZRU23-0043;23 Супсех (Анапа);19500;30000;;;;;;
TZRU23-0001;23 Краснодар;TZRU23-0044;23 Сукко (Анапа);21000;32000;;;;;;
