   Код Геозоны отправления;   Наименование зоны;   Код Геозоны прибытия;   Наименование зоны;1,5тн 4м СПК-Омск   [Z-PO1028-GT-1.5T-4M];20тн 12м СПК-Омск   [Z-PO1028-GT-20T-12M];Манипулятор 5тн 6м СПК-Омск   [Z-PO1028-ST-5T-6M];Логистика 20тн 13.5м СПК-Омск   [Z-1028-LG-20T-13.5M];ВРФ 20тн 13,5м СПК-Омск   [Z-1028-SM-20T-13.5M];ВРФ 5тн 6м СПК-Омск   [Z-1028-SM-5T-6M];ВРФ 1,5тн 4м СПК-Омск   [Z-1028-SM-1,5T-4M];ПЦС 20тн 13,5м СПК-Омск   [Z-1028-PS-20T-13.5M]
TZRU00-0080;2 НМЗ им.Кузьмина;TZRU55-0001;Омск МБ;;;;;;;;24000
TZRU55-0001;Омск МБ;TZRU55-0002;0Омская область, Омск Геозона 3;2200;7100;6000;;;;;
TZRU55-0001;Омск МБ;TZRU55-0020;1Омская область, Степной;2200;7100;6000;;;;;
TZRU55-0001;Омск МБ;TZRU55-0030;1Омская область, Чукреевка;2200;7100;6000;;;;;
TZRU55-0001;Омск МБ;TZRU55-0040;1Омская область, Осташково;2200;7100;6000;;;;;
TZRU55-0001;Омск МБ;TZRU55-0050;1Омская область, Волжский;2200;7100;6000;;;;;
TZRU55-0001;Омск МБ;TZRU55-0060;1Омская область, Николаевка;2200;7100;6000;;;;;
TZRU55-0001;Омск МБ;TZRU55-0070;1Омская область, Омский;2200;7100;6000;;;;;
TZRU55-0001;Омск МБ;TZRU55-0080;1Омская область, Михайловка;8017;15806;11045;;;;;
TZRU55-0001;Омск МБ;TZRU55-0090;1Омская область, Большегривское;13499;30388;20480;;;;;
TZRU55-0001;Омск МБ;TZRU55-0100;1Омская область, Солнцевка;10839;24736;16824;;;;;
TZRU55-0001;Омск МБ;TZRU55-0110;1Омская область, Старомалиновка;9774;22476;15361;;;;;
TZRU55-0001;Омск МБ;TZRU55-0120;1Омская область, Ленинск;11903;26998;18287;;;;;
TZRU55-0001;Омск МБ;TZRU55-0130;1Омская область, Зотино;6051;14562;10240;;;;;
TZRU55-0001;Омск МБ;TZRU55-0140;1Омская область, Филипповка;6051;14562;10240;;;;;
